ลำดับ,ชื่อสารเคมี (ไทย),ชื่อสารเคมี (อังกฤษ),CAS No
1,อะเซทิลีน (เอททีน),ACETYLENE  (ETHYNE),74-86-2
2,อะเซเฟท,ACEPHATE,30560-19-1
3,อะเซตัล,ACETAL,105-57-7
4,อะเซตัลดีไฮด์,ACETALDEHYDE,75-07-0
5,"กรดอะซิติค,กรดนํ�าส้ม",ACETIC ACID,64-19-7
6,อะซิติค แอนไฮไดรด์,ACETIC   ANHYDRIDE,108-24-7
7,อะซีโตน,ACETONE,67-64-1
8,อะซีโตน ไซยาโนไฮดริน,ACETONE    CYANOHYDRIN,75-86-5
9,อะซีโตไนไตรล์,ACETONITRILE,75-05-8
10,อะซีติลอะซีโตน,ACETYLACETONE,123-54-3
11,อะซีติล คลอไรด์,ACETYL CHLORIDE,75-36-5
12,กรดอะซีติลซาลิไซลิค,ACETYLSALICYLIC ACID 50 - 78 - 2,-
13,อะโคนิทีน,ACONITINE,302-27-2
14,เกลือของอะโคนิทีน,ACONITINE  (SALTS),-
15,อะโครลีน,ACROLEIN,107-02-8
16,อะครีลาไมด์,ACRYLAMIDE,79-06-1
17,อะครีเลทส์,ACRYLATES,-
18,กรดอะครีลิค,ACRYLIC  ACID,79-10-7
19,"2,2-บิส(อะครีโลอิลออกซีเมทธิล) บิวทิล อะครีเลท 2,2-",BIS  (ACRYLOYLOXYMETHYL)  BUTYL   ACRYLATE,15625-89-5
20,อะครีโลไนไตรล์,ACRYLONITRILE,107-13-1
21,กรดอะดิพิค,ADIPIC    ACID,124-04-9
22,อัลลัลลามีน,ALLYLAMINE,107-11-9
23,อัลดิคาร์บ,ALDICARB,116-06-3
24,อัลดริน,ALDRIN,309-00-2
25,อัลคาไล เอทธอกไซด์,ALKALI  ETHOXIDE,16331-64-9
26,อัลคาไล ฟลูออโรซิลิเคทส์,ALKALI  FLUROSILICATES,-
27,อัลคาไล เมทธอกไซด์,ALKALI   METHOXIDE,3315-60-4
28,เกลืออัลคาไลของเพนตะคลอโรฟีนอล,ALKALI SALTS   OF   PENTACHLOROPHENOL,-
29,อัลเลธริน,ALLETHRIN,584-79-2
30,อัลลิโดคลอร์,ALLIDOCHLOR,93-71-0
31,อัลลิล แอลกอฮอล์,ALLYL  ALCOHOL,107-18-6
32,อัลลิล คลอไรด์,ALLYL   CHLORIDE,107-05-1
33,"อัลลิล 2,3-อีพอกซีโพรพิล อีเธอร์","ALLYL  2,3-EPOXYPROPYL   ETHER",106-92-3
34,อัลลิล ไกลซดิล อีเธอร์,ALLYL   GLYCIDYL   ETHER,106-92-3
35,อัลลิล ไอโอไดด์,ALLYL   IODIDE,556-56-9
36,อัลลิล โพรพิล ไดซัลไฟด์,ALLYL PROPYL DISULFIDE,2179-59-1
37,อะลูมิเนียม อัลคิล,ALUMINIUM ALKYLS ตารางบัญชีรายชื�อสารเคมีอันตราย,-
38,สารประกอบอะลูมิเนียมอัลคีลิค,ALUMINIUM ALKYLIS COMPOUNDS,-
39,อะลูมิเนียม คลอไรด์ แอนไฮดรัส,ALUMINIUM CHLORIDE ANHYDROUS,7446-70-0
40,อะลูมิเนียม ลิเทียม ไฮไดรด์,ALUMINIUM LITHIUM HYDRIDE,16853-85-3
41,อะลูมิเนียม ฟอสไฟด์,ALUMINIUM PHOSPHIDE,20859-73-8
42,"อะลูมิเนียมในรูปของผง, ผงไพโร","ALUMINIUM POWDER,PYROPHORIC",7429-90-5
43,ผงอะลูมิเนียม(ลักษณะคงตัว),"ALUMINIUM  POWDER  ,STABILIZED",-
44,ฟูมอะลูมิเนียม,"ALUMINIUM FUMES, AS AL",-
45,โลหะและออกไซด์ของอะลูมิเนียม,"ALUMINIUM METAL & OXIDE,  AS  AL",7429-90-5
46,อะลูมิเนียม ออกไซด์,ALUMINIUM OXIDE,1344-28-1
47,"อะลูมิเนียม, ในรูปของสารละลายเกลือ","ALUMINIUM, SOLUBLE SALTS, AS AL",-
